BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cultivar_s	genotype_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN03081857	SRX710908	787	539	SRR1586632	SRS709653	GSM1514422	B73_TIL09	F1 cross	ear tissue from cross B73_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081856	SRX710907	777	572	SRR1586631	SRS709654	GSM1514421	B73_TIL09	F1 cross	ear tissue from cross B73_TIL09, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081858	SRX710909	864	621	SRR1586633	SRS709655	GSM1514423	B73_TIL09	F1 cross	ear tissue from cross B73_TIL09, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081859	SRX710910	654	451	SRR1586634	SRS709656	GSM1514424	B73_TIL11	F1 cross	ear tissue from cross B73_TIL11, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081860	SRX710911	624	448	SRR1586635	SRS709657	GSM1514425	B73_TIL11	F1 cross	ear tissue from cross B73_TIL11, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081861	SRX710912	815	565	SRR1586636	SRS709658	GSM1514426	B73_TIL11	F1 cross	ear tissue from cross B73_TIL11, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081862	SRX710913	1051	730	SRR1586637	SRS709659	GSM1514427	B73_TIL11	F1 cross	ear tissue from cross B73_TIL11, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081863	SRX710914	631	474	SRR1586638	SRS709660	GSM1514428	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081864	SRX710915	802	591	SRR1586639	SRS709661	GSM1514429	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081865	SRX710916	673	508	SRR1586640	SRS709662	GSM1514430	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081866	SRX710917	866	643	SRR1586641	SRS709663	GSM1514431	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081867	SRX710918	881	661	SRR1586642	SRS709664	GSM1514432	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081868	SRX710919	1177	867	SRR1586643	SRS709665	GSM1514433	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081869	SRX710920	609	457	SRR1586644	SRS709666	GSM1514434	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 4	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081870	SRX710921	740	545	SRR1586645	SRS709667	GSM1514435	B73_TIL14	F1 cross	ear tissue from cross B73_TIL14, biological replicate 4	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082058	SRX710922	715	536	SRR1586646	SRS709668	GSM1514436	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082059	SRX710923	839	607	SRR1586647	SRS709669	GSM1514437	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082052	SRX710925	842	618	SRR1586649	SRS709670	GSM1514439	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081871	SRX710924	596	445	SRR1586648	SRS709671	GSM1514438	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082053	SRX710926	809	561	SRR1586650	SRS709672	GSM1514440	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082054	SRX710927	1083	753	SRR1586651	SRS709673	GSM1514441	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082055	SRX710928	684	515	SRR1586652	SRS709674	GSM1514442	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 4	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082057	SRX710930	912	631	SRR1586654	SRS709675	GSM1514444	CML103_TIL03	F1 cross	ear tissue from cross CML103_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082056	SRX710929	846	623	SRR1586653	SRS709676	GSM1514443	B73_TIL25	F1 cross	ear tissue from cross B73_TIL25,biological replicate 4	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082060	SRX710931	1181	816	SRR1586655	SRS709677	GSM1514445	CML103_TIL03	F1 cross	ear tissue from cross CML103_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082061	SRX710932	509	382	SRR1586656	SRS709678	GSM1514446	CML103_TIL03	F1 cross	ear tissue from cross CML103_TIL03,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082062	SRX710933	745	548	SRR1586657	SRS709679	GSM1514447	CML103_TIL03	F1 cross	ear tissue from cross CML103_TIL03,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082064	SRX710935	958	678	SRR1586659	SRS709680	GSM1514449	CML103_TIL11	F1 cross	ear tissue from cross CML103_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082063	SRX710934	695	486	SRR1586658	SRS709681	GSM1514448	CML103_TIL11	F1 cross	ear tissue from cross CML103_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082065	SRX710936	898	611	SRR1586660	SRS709682	GSM1514450	CML103_TIL11	F1 cross	ear tissue from cross CML103_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082066	SRX710937	931	667	SRR1586661	SRS709683	GSM1514451	CML103_TIL11	F1 cross	ear tissue from cross CML103_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082067	SRX710938	452	340	SRR1586662	SRS709684	GSM1514452	CML103_TIL14	F1 cross	ear tissue from cross CML103_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082069	SRX710940	894	617	SRR1586664	SRS709685	GSM1514454	CML103_TIL14	F1 cross	ear tissue from cross CML103_TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082068	SRX710939	676	496	SRR1586663	SRS709686	GSM1514453	CML103_TIL14	F1 cross	ear tissue from cross CML103_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082070	SRX710941	1148	795	SRR1586665	SRS709687	GSM1514455	CML103_TIL14	F1 cross	ear tissue from cross CML103_TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082071	SRX710942	871	651	SRR1586666	SRS709688	GSM1514456	Ki3_TIL03	F1 cross	ear tissue from cross Ki3_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082072	SRX710943	950	683	SRR1586667	SRS709689	GSM1514457	Ki3_TIL03	F1 cross	ear tissue from cross Ki3_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082073	SRX710944	708	525	SRR1586668	SRS709690	GSM1514458	Ki3_TIL09	F1 cross	ear tissue from cross Ki3_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082074	SRX710945	846	606	SRR1586669	SRS709691	GSM1514459	Ki3_TIL09	F1 cross	ear tissue from cross Ki3_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082075	SRX710946	570	397	SRR1586670	SRS709692	GSM1514460	Ki3_TIL09	F1 cross	ear tissue from cross Ki3_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082076	SRX710947	791	549	SRR1586671	SRS709693	GSM1514461	Ki3_TIL09	F1 cross	ear tissue from cross Ki3_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082078	SRX710949	1021	733	SRR1586673	SRS709694	GSM1514463	Ki3_TIL11	F1 cross	ear tissue from cross Ki3_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082079	SRX710950	949	647	SRR1586674	SRS709695	GSM1514464	Ki3_TIL11	F1 cross	ear tissue from cross Ki3_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082077	SRX710948	915	681	SRR1586672	SRS709696	GSM1514462	Ki3_TIL11	F1 cross	ear tissue from cross Ki3_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082080	SRX710951	1034	741	SRR1586675	SRS709697	GSM1514465	Ki3_TIL11	F1 cross	ear tissue from cross Ki3_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081992	SRX710953	748	537	SRR1586677	SRS709698	GSM1514467	Ki3_TIL14	F1 cross	ear tissue from cross Ki3_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082081	SRX710952	667	497	SRR1586676	SRS709699	GSM1514466	Ki3_TIL14	F1 cross	ear tissue from cross Ki3_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081994	SRX710955	876	633	SRR1586679	SRS709700	GSM1514469	Ki3_TIL14	F1 cross	ear tissue from cross Ki3_TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081993	SRX710954	880	611	SRR1586678	SRS709701	GSM1514468	Ki3_TIL14	F1 cross	ear tissue from cross Ki3_TIL14, biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081995	SRX710956	640	481	SRR1586680	SRS709702	GSM1514470	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081996	SRX710957	838	618	SRR1586681	SRS709703	GSM1514471	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081997	SRX710958	690	517	SRR1586682	SRS709704	GSM1514472	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081998	SRX710959	899	663	SRR1586683	SRS709705	GSM1514473	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081999	SRX710960	792	544	SRR1586684	SRS709706	GSM1514474	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082000	SRX710961	1046	723	SRR1586685	SRS709707	GSM1514475	Mo17_TIL09	F1 cross	ear tissue from cross Mo17_TIL09,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082001	SRX710962	876	653	SRR1586686	SRS709708	GSM1514476	Mo17_TIL14	F1 cross	ear tissue from cross Mo17_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082002	SRX710963	945	678	SRR1586687	SRS709709	GSM1514477	Mo17_TIL14	F1 cross	ear tissue from cross Mo17_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082003	SRX710964	853	589	SRR1586688	SRS709710	GSM1514478	Mo17_TIL14	F1 cross	ear tissue from cross Mo17_TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082004	SRX710965	1115	772	SRR1586689	SRS709711	GSM1514479	Mo17_TIL14	F1 cross	ear tissue from cross Mo17_TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082005	SRX710966	962	659	SRR1586690	SRS709712	GSM1514480	Oh43_TIL01	F1 cross	ear tissue from cross Oh43_TIL01,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082006	SRX710967	1033	742	SRR1586691	SRS709713	GSM1514481	Oh43_TIL01	F1 cross	ear tissue from cross Oh43_TIL01,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082007	SRX710968	1269	877	SRR1586692	SRS709714	GSM1514482	Oh43_TIL01	F1 cross	ear tissue from cross Oh43_TIL01,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
